"","long","lat","continent"
"309",1.541559,48.452945,"EUROPE"
"310",14.784195,48.05479,"EUROPE"
"311",-0.650597,38.839507,"EUROPE"
"312",41.939293,45.111055,"EUROPE"
"313",38.804439,51.205835,"EUROPE"
"314",16.664703,47.758678,"EUROPE"
"315",0.744469,42.047921,"EUROPE"
"316",-7.66315,37.633437,"EUROPE"
"317",56.042752,53.455958,"EUROPE"
"318",7.785657,47.962163,"EUROPE"
"319",20.22582,46.22209,"EUROPE"
"320",7.084164,49.929035,"EUROPE"
"321",6.760815,49.744911,"EUROPE"
"322",-5.54012,39.892831,"EUROPE"
"323",8.566216,50.046009,"EUROPE"
"324",4.53082,43.90727,"EUROPE"
"325",-4.397,36.866001,"EUROPE"
"326",1.63126,45.79238,"EUROPE"
"327",-1.767812,42.882518,"EUROPE"
"328",14.966941,37.093923,"EUROPE"
"329",13.753775,51.494026,"EUROPE"
"330",7.40623,46.25393,"EUROPE"
"331",8.82562,49.9897,"EUROPE"
"332",13.556836,51.626842,"EUROPE"
"333",16.87552,48.69025,"EUROPE"
"334",65.774133,55.377255,"ASIA"
"335",15.959818,47.292497,"EUROPE"
"336",4.753401,43.536319,"EUROPE"
"337",23.140631,42.708522,"EUROPE"
"338",15.880319,46.820546,"EUROPE"
"339",13.054531,52.217133,"EUROPE"
"340",11.05906,45.466643,"EUROPE"
"341",34.287168,45.420418,"EUROPE"
"342",16.94952,47.59039,"EUROPE"
"343",101.513917,12.933225,"ASIA"
"344",8.833095,44.709576,"EUROPE"
"345",17.096992,52.367284,"EUROPE"
"346",0.53788,43.00247,"EUROPE"
"347",17.573969,49.050137,"EUROPE"
"348",7.32548,44.833719,"EUROPE"
"349",-0.355287,42.779367,"EUROPE"
"350",13.642728,46.732412,"EUROPE"
"351",6.65589,44.12055,"EUROPE"
"352",-0.439035,42.314878,"EUROPE"
"353",19.162093,48.773994,"EUROPE"
"354",3.994201,44.220109,"EUROPE"
"355",16.614737,40.666444,"EUROPE"
"356",118.226418,36.742161,"ASIA"
"357",9.41909,45.566475,"EUROPE"
"358",16.378899,48.567999,"EUROPE"
"359",42.933636,36.849616,"ASIA"
"360",17.444156,48.841011,"EUROPE"
"361",23.72717,52.074917,"EUROPE"
"362",7.767581,44.150526,"EUROPE"
"363",22.338402,49.895523,"EUROPE"
"364",44.19786,52.443419,"EUROPE"
"365",15.315548,47.086222,"EUROPE"
"366",12.409582,42.783722,"EUROPE"
"367",19.330776,47.257618,"EUROPE"
"368",7.26449,44.32502,"EUROPE"
"369",7.758391,50.227074,"EUROPE"
"370",21.968168,51.446601,"EUROPE"
"371",-8.498707,38.909393,"EUROPE"
"372",9.225043,44.578816,"EUROPE"
"373",16.950197,48.076462,"EUROPE"
"374",11.072219,44.213798,"EUROPE"
"375",23.123719,41.444111,"EUROPE"
"376",46.516326,42.456018,"EUROPE"
"377",23.254627,41.46019,"EUROPE"
"378",16.412493,49.186045,"EUROPE"
"379",0.14918,48.20588,"EUROPE"
"380",14.562686,41.305283,"EUROPE"
"381",7.436195,48.265772,"EUROPE"
"382",15.784977,43.771236,"EUROPE"
"383",5.21602,44.06908,"EUROPE"
"384",11.676671,51.219349,"EUROPE"
"385",6.169332,48.430634,"EUROPE"
"386",14.146854,51.626831,"EUROPE"
"387",13.377351,51.552361,"EUROPE"
"388",4.269882,44.377688,"EUROPE"
"389",11.956835,51.423706,"EUROPE"
"390",-8.738974,37.725588,"EUROPE"
"391",13.623232,52.173634,"EUROPE"
"392",8.222861,50.008507,"EUROPE"
"393",7.640032,49.981859,"EUROPE"
"394",12.286481,51.844543,"EUROPE"
"395",14.347481,51.704339,"EUROPE"
"396",45.086056,53.367608,"EUROPE"
"397",-7.999614,42.852433,"EUROPE"
"398",32.752766,34.974892,"EUROPE"
"399",8.52444,45.744331,"EUROPE"
"400",-5.395594,37.524264,"EUROPE"
"401",55.74429,24.684325,"ASIA"
"402",38.403586,53.856595,"EUROPE"
"403",10.540028,44.502797,"EUROPE"
"404",6.05264,49.11446,"EUROPE"
"405",17.440026,45.302269,"EUROPE"
"406",35.736408,32.768939,"ASIA"
"407",24.966352,44.836567,"EUROPE"
"408",-0.83192,39.602296,"EUROPE"
"409",-7.0625,42.731944,"EUROPE"
"410",15.31945,48.234509,"EUROPE"
"411",16.548232,51.927532,"EUROPE"
"412",16.6654,48.8653,"EUROPE"
"413",-1.282337,40.059969,"EUROPE"
